image_index,model_type,category,hpsv2_score,aesthetics_score,background_mse,clip_text_image,dinov2_similarity
0,Photoshop,Real-Sketch,0.38111841678619385,5.469847679138184,0.0006202743689742129,0.3457585871219635,0.06489074975252151
0,TF-ICON,Real-Sketch,0.4266730546951294,5.660168647766113,0.008525125850460662,0.32244378328323364,0.06489074975252151
1,Photoshop,Real-Sketch,0.37912946939468384,5.508401870727539,0.0034189207432571206,0.3103906810283661,0.17935198545455933
1,TF-ICON,Real-Sketch,0.3966606855392456,5.580971717834473,0.011821561946412514,0.3032543659210205,0.17935198545455933
2,Photoshop,Real-Sketch,0.32348567247390747,5.447719573974609,0.000398347427655002,0.22400131821632385,0.2639480233192444
2,TF-ICON,Real-Sketch,0.3269258141517639,5.705107688903809,0.007381751325796429,0.24711227416992188,0.2639480233192444
3,Photoshop,Real-Sketch,0.31991806626319885,5.294097900390625,0.000495020310778235,0.332897424697876,0.20667681097984314
3,TF-ICON,Real-Sketch,0.3236083984375,5.222453594207764,0.003574676981949346,0.2841814160346985,0.20667681097984314
4,Photoshop,Real-Sketch,0.3348436951637268,5.226220607757568,0.0017599313110356423,0.31603458523750305,0.2252478152513504
4,TF-ICON,Real-Sketch,0.3975672721862793,5.481019973754883,0.013828275938685946,0.3344843089580536,0.2252478152513504
5,Photoshop,Real-Sketch,0.3829619884490967,5.376760482788086,0.000495631674656728,0.35208213329315186,0.1832646131515503
5,TF-ICON,Real-Sketch,0.34003907442092896,5.463190078735352,0.0037173370880734815,0.30747324228286743,0.1832646131515503
6,Photoshop,Real-Sketch,0.40963736176490784,5.802765846252441,0.004141425958576984,0.35659393668174744,0.1905646175146103
6,TF-ICON,Real-Sketch,0.4247656464576721,5.891955375671387,0.013515500502277334,0.3412068784236908,0.1905646175146103
7,Photoshop,Real-Sketch,0.3686128556728363,5.0155229568481445,0.003232026423688019,0.3227185010910034,0.21348649263381958
7,TF-ICON,Real-Sketch,0.3678884506225586,5.5110321044921875,0.012941905921883724,0.321995347738266,0.21348649263381958
8,Photoshop,Real-Sketch,0.3137153685092926,5.305452823638916,0.0002135858927086073,0.2977101802825928,0.24916547536849976
8,TF-ICON,Real-Sketch,0.3065704107284546,5.470956802368164,0.0068349836810027015,0.2876296043395996,0.24916547536849976
9,Photoshop,Real-Sketch,0.35416629910469055,5.229475975036621,0.0004958239548030676,0.32924264669418335,0.278947651386261
9,TF-ICON,Real-Sketch,0.32519233226776123,5.2948198318481445,0.0037730109840275502,0.30182981491088867,0.278947651386261
10,Photoshop,Real-Sketch,0.28685492277145386,5.393784523010254,0.00039069767843074454,0.21913541853427887,0.3203045129776001
10,TF-ICON,Real-Sketch,0.3112764060497284,5.73744535446167,0.011564522419078365,0.25693628191947937,0.3203045129776001
11,Photoshop,Real-Sketch,0.42530959844589233,5.536527633666992,0.0008322022696939192,0.3364907503128052,0.047335729002952576
11,TF-ICON,Real-Sketch,0.43242037296295166,5.426362037658691,0.010949461188528119,0.33241719007492065,0.047335729002952576
12,Photoshop,Real-Sketch,0.41943061351776123,5.490742206573486,0.0008920415590879199,0.34852391481399536,0.16381314396858215
